"from","to","target","source"
"Yukari Tamura","Jun Fukuyama",57,50
"Romi Park","Jun Fukuyama",57,15
"Takahiro Sakurai","Kana Hanazawa",51,34
"Takahiro Sakurai","Sora Amamiya",52,34
"Takahiro Sakurai","Kazuhiro Yamaji",17,34
"Takahiro Sakurai","Mamoru Miyano",53,34
"Takahiro Sakurai","Aya Suzaki",54,34
"Takahiro Sakurai","Nobunaga Shimazaki",55,34
"Takahiro Sakurai","Yuki Kaji",1,34
"Takahiro Sakurai","Aki Toyosaki",40,34
"Takahiro Sakurai","Saori Hayami",111,34
"Kana Hanazawa","Sora Amamiya",52,51
"Kana Hanazawa","Kazuhiro Yamaji",17,51
"Kana Hanazawa","Mamoru Miyano",53,51
"Kana Hanazawa","Aya Suzaki",54,51
"Kana Hanazawa","Nobunaga Shimazaki",55,51
"Kana Hanazawa","Yuki Kaji",1,51
"Kana Hanazawa","Aki Toyosaki",40,51
"Kana Hanazawa","Saori Hayami",111,51
"Sora Amamiya","Kazuhiro Yamaji",17,52
"Sora Amamiya","Mamoru Miyano",53,52
